name,address,latitude,longitude
金沢市営西金沢テニスコート,金沢市西金沢３丁目684番地,36.55457348,136.6114257
金沢市西南部公民館,金沢市西金沢３丁目684番地,36.55473086,136.6122129
チカモリ遺跡公園,金沢市新保本５丁目47番地,36.55609738,136.6046368
古府町第１児童公園,金沢市古府町南851番地,36.55965121,136.6105907
新保本町ふれあい公園,金沢市新保本４丁目70番地,36.55877682,136.602929
新保本町中央公園,金沢市新保本２丁目502番地,36.55186812,136.602132
西金児童公園,金沢市西金沢新町256番地ほか,36.55408389,136.6154379
西部中央公園,金沢市西金沢５丁目286番地ほか,36.5572135,136.6158939
八日市出町ふるみや公園,金沢市八日市出町718番地,36.5527741,136.6082895
金沢市立三和小学校,金沢市矢木１丁目74番地,36.55799981,136.5967497
金沢市三和公民館,金沢市上荒屋４丁目82番地,36.553753,136.593355
いなほふれあい公園,金沢市いなほ１丁目８番地,36.55248045,136.5825136
上荒屋１丁目くすのき公園,金沢市上荒屋１丁目346番地,36.54775076,136.5920853
上荒屋つばき公園,金沢市上荒屋８丁目43番地,36.5504777,136.5898726
上荒屋にれの木公園,金沢市上荒屋５丁目453番地,36.557383,136.5894466
上荒屋もくれん公園,金沢市上荒屋６丁目446番地,36.55327518,136.5886539
神野東公園,金沢市神野町東107番地２,36.56391413,136.6001881
矢木第１児童公園,金沢市矢木３丁目308番地,36.56020849,136.5933239
金沢市立三馬小学校,金沢市久安６丁目154番地,36.543557,136.633738
金沢高等学校,金沢市泉本町３丁目111番地,36.55061631,136.6353428
金沢市立清泉中学校,金沢市泉本町３丁目３番地,36.54805464,136.6362932
金沢市三馬公民館,金沢市久安６丁目59番地１,36.54208365,136.6346077
横川児童公園,金沢市横川４丁目２番地,36.53927823,136.6302994
清泉公園,金沢市泉本町１丁目160番地６ほか,36.54705806,136.6358657
有松たつあがり公園,金沢市有松３丁目33番地,36.54081872,136.6403861
有松児童遊園,金沢市有松４丁目155番地,36.54037076,136.6365825
金沢市立米泉小学校,金沢市米泉町４丁目133番地２,36.54574359,136.6281777
石川県立金沢伏見高等学校,金沢市米泉町５丁目85番地,36.549195,136.627877
金沢市米泉公民館,金沢市米泉町８丁目126番地,36.55053794,136.6264888
金沢市立富樫小学校,金沢市山科３丁目６番60号,36.529503,136.645737
石川県立金沢錦丘高等学校・中学校,金沢市窪６丁目218番地,36.53002838,136.6413688
金沢南総合運動公園,金沢市富樫３丁目８番30号,36.53914456,136.6429011
金沢市富樫公民館,金沢市山科１丁目６番８号,36.5283824,136.6472696
寺地いなほ公園,金沢市寺地２丁目69番地,36.53698712,136.6355873
